"table","variable","label","class","n_missing","pct_missing","n_unique"
"ALQ_L","SEQN","Respondent sequence number","numeric",0,0,6337
"ALQ_L","ALQ111","Ever had a drink of any kind of alcohol","numeric",856,13.5,4
"ALQ_L","ALQ121","Past 12 mos how often drink alc bev","numeric",1415,22.3,14
"ALQ_L","ALQ130","Avg # alcoholic drinks/day/past 12 mos","numeric",2268,35.8,18
"ALQ_L","ALQ142","# days have 4/5 drinks/past 12 mos","numeric",2255,35.6,14
"ALQ_L","ALQ270","# times 4/5 drinks in 2hrs/past 12 mos","numeric",3971,62.7,14
"ALQ_L","ALQ280","# times 8+ drinks in 1 day/past 12 mos","numeric",3975,62.7,14
"ALQ_L","ALQ151","Ever have 4/5 or more drinks every day","numeric",1436,22.7,5
"ALQ_L","ALQ170","# times 4/5 drinks on occasion/past mo","numeric",3979,62.8,22
"BIOPRO_L","SEQN","Respondent Sequence Number","numeric",0,0,7199
"BIOPRO_L","WTPH2YR","Phlebotomy 2 Year Weight","numeric",0,0,6600
"BIOPRO_L","LBXSATSI","Alanine Aminotransferase (ALT) (IU/L)","numeric",878,12.2,126
"BIOPRO_L","LBXSAL","Albumin, refrigerated serum (g/dL)","numeric",833,11.6,34
"BIOPRO_L","LBDSALSI","Albumin, refrigerated serum (g/L)","numeric",833,11.6,34
"BIOPRO_L","LBXSAPSI","Alkaline Phosphatase (ALP) (IU/L)","numeric",872,12.1,320
"BIOPRO_L","LBXSASSI","Aspartate Aminotransferase (AST) (IU/L)","numeric",891,12.4,109
"BIOPRO_L","LBXSC3SI","Bicarbonate (mmol/L)","numeric",874,12.1,23
"BIOPRO_L","LBXSBU","Blood Urea Nitrogen (mg/dL)","numeric",873,12.1,58
"BIOPRO_L","LBDSBUSI","Blood Urea Nitrogen (mmol/L)","numeric",873,12.1,58
"BIOPRO_L","LBXSCLSI","Chloride (mmol/L)","numeric",870,12.1,34
"BIOPRO_L","LBXSCK","Creatine Phosphokinase (CPK) (U/L)","numeric",878,12.2,566
"BIOPRO_L","LBXSCR","Creatinine, refrigerated serum (mg/dL)","numeric",873,12.1,189
"BIOPRO_L","LBDSCRSI","Creatinine, refrigerated serum (umol/L)","numeric",873,12.1,189
"BIOPRO_L","LBXSGB","Globulin (g/dL)","numeric",835,11.6,38
"BIOPRO_L","LBDSGBSI","Globulin (g/L)","numeric",835,11.6,38
"BIOPRO_L","LBXSGL","Glucose, refrigerated serum (mg/dL)","numeric",842,11.7,237
"BIOPRO_L","LBDSGLSI","Glucose, refrigerated serum (mmol/L)","numeric",842,11.7,30
"BIOPRO_L","LBXSGTSI","Gamma Glutamyl Transferase (GGT) (IU/L)","numeric",872,12.1,210
"BIOPRO_L","LBDSGTLC","GGT Comment Code","numeric",872,12.1,3
"BIOPRO_L","LBXSIR","Iron, refrigerated serum (µg/dL)","numeric",835,11.6,222
"BIOPRO_L","LBDSIRSI","Iron, refrigerated serum (umol/L)","numeric",835,11.6,48
"BIOPRO_L","LBXSLDSI","Lactate Dehydrogenase (LDH) (U/L)","numeric",2459,34.2,232
"BIOPRO_L","LBXMAGN","Magnesium (mg/dL)","numeric",875,12.2,22
"BIOPRO_L","LBXSOSSI","Osmolality (mmol/Kg)","numeric",877,12.2,60
"BIOPRO_L","LBXSPH","Phosphorus (mg/dL)","numeric",877,12.2,50
"BIOPRO_L","LBDSPHSI","Phosphorus (mmol/L)","numeric",877,12.2,50
"BIOPRO_L","LBXSKSI","Potassium (mmol/L)","numeric",918,12.8,35
"BIOPRO_L","LBXSNASI","Sodium (mmol/L)","numeric",833,11.6,32
"BIOPRO_L","LBXSTB","Total Bilirubin (mg/dL)","numeric",874,12.1,40
"BIOPRO_L","LBDSTBSI","Total Bilirubin (umol/L)","numeric",1006,14,39
"BIOPRO_L","LBDSTBLC","Total Bilirubin Comment Code","numeric",874,12.1,3
"BIOPRO_L","LBXSCA","Total Calcium (mg/dL)","numeric",837,11.6,40
"BIOPRO_L","LBDSCASI","Total Calcium (mmol/L)","numeric",837,11.6,12
"BIOPRO_L","LBXSCH","Cholesterol, refrigerated serum (mg/dL)","numeric",871,12.1,263
"BIOPRO_L","LBDSCHSI","Cholesterol, refrigerated serum (mmol/L)","numeric",871,12.1,263
"BIOPRO_L","LBXSTP","Total Protein (g/dL)","numeric",835,11.6,41
"BIOPRO_L","LBDSTPSI","Total Protein (g/L)","numeric",835,11.6,41
"BIOPRO_L","LBXSTR","Triglycerides, refrig serum (mg/dL)","numeric",840,11.7,447
"BIOPRO_L","LBDSTRSI","Triglycerides, refrig serum (mmol/L)","numeric",840,11.7,447
"BIOPRO_L","LBXSUA","Uric acid (mg/dL)","numeric",870,12.1,96
"BIOPRO_L","LBDSUASI","Uric acid (umol/L)","numeric",870,12.1,96
"BMX_L","SEQN","Respondent sequence number","numeric",0,0,8860
"BMX_L","BMDSTATS","Body Measures Component Status Code","numeric",0,0,4
"BMX_L","BMXWT","Weight (kg)","numeric",106,1.2,1390
"BMX_L","BMIWT","Weight Comment","numeric",8515,96.1,4
"BMX_L","BMXRECUM","Recumbent Length (cm)","numeric",8406,94.9,300
"BMX_L","BMIRECUM","Recumbent Length Comment","numeric",8842,99.8,2
"BMX_L","BMXHEAD","Head Circumference (cm)","numeric",8790,99.2,50
"BMX_L","BMIHEAD","Head Circumference Comment","numeric",8860,100,1
"BMX_L","BMXHT","Standing Height (cm)","numeric",361,4.1,996
"BMX_L","BMIHT","Standing Height Comment","numeric",8726,98.5,3
"BMX_L","BMXBMI","Body Mass Index (kg/m**2)","numeric",389,4.4,452
"BMX_L","BMDBMIC","BMI Category - Children/Youth","numeric",6368,71.9,5
"BMX_L","BMXLEG","Upper Leg Length (cm)","numeric",1525,17.2,232
"BMX_L","BMILEG","Upper Leg Length Comment","numeric",8464,95.5,2
"BMX_L","BMXARML","Upper Arm Length (cm)","numeric",292,3.3,352
"BMX_L","BMIARML","Upper Arm Length Comment","numeric",8660,97.7,2
"BMX_L","BMXARMC","Arm Circumference (cm)","numeric",298,3.4,392
"BMX_L","BMIARMC","Arm Circumference Comment","numeric",8655,97.7,2
"BMX_L","BMXWAIST","Waist Circumference (cm)","numeric",670,7.6,1050
"BMX_L","BMIWAIST","Waist Circumference Comment","numeric",8513,96.1,2
"BMX_L","BMXHIP","Hip Circumference (cm)","numeric",2084,23.5,765
"BMX_L","BMIHIP","Hip Circumference Comment","numeric",8499,95.9,2
"DEMO_L","SEQN","Respondent sequence number","numeric",0,0,11933
"DEMO_L","SDDSRVYR","Data release cycle","numeric",0,0,1
"DEMO_L","RIDSTATR","Interview/Examination status","numeric",0,0,2
"DEMO_L","RIAGENDR","Gender","numeric",0,0,2
"DEMO_L","RIDAGEYR","Age in years at screening","numeric",0,0,81
"DEMO_L","RIDAGEMN","Age in months at screening - 0 to 24 mos","numeric",11556,96.8,26
"DEMO_L","RIDRETH1","Race/Hispanic origin","numeric",0,0,5
"DEMO_L","RIDRETH3","Race/Hispanic origin w/ NH Asian","numeric",0,0,6
"DEMO_L","RIDEXMON","Six-month time period","numeric",3073,25.8,3
"DEMO_L","RIDEXAGM","Age in months at exam - 0 to 19 years","numeric",9146,76.6,241
"DEMO_L","DMQMILIZ","Served active duty in US Armed Forces","numeric",3632,30.4,4
"DEMO_L","DMDBORN4","Country of birth","numeric",19,0.2,3
"DEMO_L","DMDYRUSR","Length of time in US","numeric",10058,84.3,9
"DEMO_L","DMDEDUC2","Education level - Adults 20+","numeric",4139,34.7,7
"DEMO_L","DMDMARTZ","Marital status","numeric",4141,34.7,6
"DEMO_L","RIDEXPRG","Pregnancy status at exam","numeric",10430,87.4,4
"DEMO_L","DMDHHSIZ","Total number of people in the Household","numeric",0,0,7
"DEMO_L","DMDHRGND","HH ref persons gender","numeric",7818,65.5,3
"DEMO_L","DMDHRAGZ","HH ref persons age in years","numeric",7809,65.4,5
